SupplierID,SupplierName,SupplierRegion,ComponentType,Month,Deliveries,UnitsReceived,DefectiveUnits,DefectRate,SupplierRating
SUP-0079,"Graham, Mcintyre and Sanders Pvt Ltd",Germany,Switchgear Parts,2025-07,12,56784,1222,2.153,B
SUP-0147,Murray Inc Manufacturing,Poland,Plastic Components,2023-03,14,4480,22,0.5,A
SUP-0141,"Anderson, Mcdowell and Parker Industries",USA,Transformers,2023-09,15,69135,2317,3.351,C
SUP-0007,Mitchell Ltd Manufacturing,Germany,Metal Components,2023-04,18,42084,1158,2.753,B
SUP-0078,Navarro Group Manufacturing,Germany,Connectors,2023-06,11,31911,1108,3.472,C
SUP-0084,Torres-Nelson Components,Germany,Metal Components,2024-01,7,22022,1294,5.88,D
SUP-0139,"Cooper, Schwartz and Edwards GmbH",Mexico,Switchgear Parts,2023-07,23,65941,4366,6.622,D
SUP-0010,Weaver Ltd Corp,India,Circuit Breakers,2023-07,14,10360,139,1.346,A
SUP-0007,Mitchell Ltd Manufacturing,Germany,Metal Components,2024-01,8,7344,272,3.709,C
SUP-0069,Soto-Powell GmbH,Poland,Switchgear Parts,2025-07,15,57915,1144,1.976,B
SUP-0130,Schneider-Rhodes Components,India,Plastic Components,2025-08,9,10656,746,7.006,D
SUP-0116,Chen-Mills Corp,China,Metal Components,2023-08,19,62871,1947,3.098,C
SUP-0102,"Gordon, Cantrell and Coleman Manufacturing",Mexico,Transformers,2024-02,10,47180,2077,4.404,C
SUP-0094,"Berry, Barr and Alexander Pvt Ltd",Poland,Transformers,2025-11,4,15576,655,4.21,C
SUP-0079,"Graham, Mcintyre and Sanders Pvt Ltd",Germany,Switchgear Parts,2024-02,2,9998,247,2.471,B
SUP-0096,"Rodgers, Ochoa and Carter Corp",USA,Metal Components,2024-04,24,39936,2567,6.43,D
SUP-0131,"Rogers, Mitchell and Simpson Manufacturing",Germany,Metal Components,2024-09,21,63672,1438,2.26,B
SUP-0016,"Lopez, Phillips and Ramirez Manufacturing",USA,Connectors,2023-04,22,50820,1506,2.964,B
SUP-0081,Smith-Pineda Corp,Germany,Connectors,2025-11,14,8568,208,2.431,B
SUP-0070,"Francis, Sullivan and Williams Components",China,Circuit Breakers,2023-06,22,58806,1279,2.177,B
SUP-0088,Sanchez and Sons GmbH,Germany,Metal Components,2023-02,6,7596,181,2.385,B
SUP-0067,Woods-Liu Group,China,Transformers,2024-02,13,11518,518,4.498,C
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2024-02,4,13128,722,5.506,D
SUP-0120,Powell Ltd GmbH,USA,Switchgear Parts,2024-07,15,60120,3537,5.884,D
SUP-0077,Vasquez-Rodriguez Pvt Ltd,India,Transformers,2023-07,10,2550,61,2.414,B
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2025-02,5,16755,523,3.125,C
SUP-0082,"Lewis, Perez and Craig Corp",Germany,Transformers,2023-12,3,12513,472,3.772,C
SUP-0034,Owen-Middleton Group,China,Plastic Components,2023-03,5,24655,198,0.805,A
SUP-0101,Wood-Johnson Corp,Mexico,Connectors,2025-08,20,6960,456,6.557,D
SUP-0129,"Mooney, Clayton and Oneal Corp",China,Plastic Components,2025-07,5,7685,45,0.597,A
SUP-0030,"Collins, Guerra and Sexton GmbH",China,Switchgear Parts,2024-09,9,7668,447,5.838,D
SUP-0027,"Patterson, Anderson and Ford Components",India,Connectors,2024-08,24,55872,4395,7.867,D
SUP-0087,Taylor Ltd Corp,Germany,Connectors,2024-03,18,27162,1273,4.689,C
SUP-0097,Campbell PLC Manufacturing,Poland,Switchgear Parts,2023-09,16,13824,443,3.207,C
SUP-0120,Powell Ltd GmbH,USA,Switchgear Parts,2024-04,11,31504,1168,3.709,C
SUP-0061,Cox Ltd Corp,USA,Metal Components,2024-01,20,47600,2781,5.843,D
SUP-0047,Ramirez-Castro Pvt Ltd,China,Metal Components,2025-05,4,3912,312,8.0,D
SUP-0083,Burch-Harris Components,USA,Transformers,2023-05,10,8800,263,2.995,B
SUP-0054,"Bennett, Morales and Ortega Group",Germany,Metal Components,2023-03,9,27981,343,1.229,A
SUP-0100,"Leon, Warren and Juarez Group",Poland,Plastic Components,2025-07,18,48150,2329,4.839,C
SUP-0045,Garcia-Deleon Corp,China,Switchgear Parts,2024-07,19,44821,336,0.75,A
SUP-0148,Mills LLC Manufacturing,China,Plastic Components,2023-06,17,31059,476,1.534,B
SUP-0096,"Rodgers, Ochoa and Carter Corp",USA,Metal Components,2024-02,4,14396,1008,7.004,D
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2025-06,3,3498,224,6.404,D
SUP-0008,Young and Sons Industries,Germany,Plastic Components,2025-01,15,26985,257,0.955,A
SUP-0030,"Collins, Guerra and Sexton GmbH",China,Switchgear Parts,2023-06,2,8334,322,3.865,C
SUP-0115,Dixon-Collins Corp,USA,Connectors,2024-11,6,3990,248,6.226,D
SUP-0150,Turner Inc Manufacturing,Germany,Plastic Components,2024-07,18,85230,1486,1.744,B
SUP-0089,"Smith, Smith and Mills Industries",Germany,Metal Components,2025-07,22,104896,2236,2.132,B
SUP-0133,Freeman Ltd Pvt Ltd,Mexico,Transformers,2025-07,18,17370,651,3.751,C
SUP-0137,Wells PLC Corp,Mexico,Switchgear Parts,2024-08,4,15604,459,2.948,B
SUP-0042,"Salinas, Nelson and Baker Components",India,Metal Components,2024-07,4,11340,552,4.872,C
SUP-0109,Frye-Le GmbH,Poland,Plastic Components,2023-12,15,35175,1068,3.036,C
SUP-0046,"Patterson, Thornton and Taylor Components",Mexico,Metal Components,2024-09,21,69867,3028,4.334,C
SUP-0002,"Thompson, Cohen and Deleon Industries",USA,Plastic Components,2023-04,21,95256,3704,3.889,C
SUP-0091,Ramirez Ltd Manufacturing,Poland,Connectors,2023-08,10,38480,1930,5.017,D
SUP-0092,"Jackson, Hayes and Hines Components",Poland,Transformers,2025-06,20,29020,1160,3.999,C
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2023-05,24,101784,2272,2.232,B
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2024-11,5,5290,88,1.676,B
SUP-0134,Davis-Lopez Components,India,Switchgear Parts,2025-04,7,32809,1542,4.702,C
SUP-0098,Beck Inc Manufacturing,Poland,Switchgear Parts,2025-10,16,15616,319,2.046,B
SUP-0032,"Townsend, King and Daugherty Components",Poland,Plastic Components,2024-07,14,44520,1686,3.789,C
SUP-0070,"Francis, Sullivan and Williams Components",China,Circuit Breakers,2023-03,18,23418,401,1.716,B
SUP-0021,Aguilar-Vasquez Manufacturing,India,Transformers,2024-06,5,6330,66,1.05,A
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2023-11,13,50960,1206,2.367,B
SUP-0001,Fowler-Bell Manufacturing,USA,Transformers,2025-03,15,37575,803,2.139,B
SUP-0135,Henry-Graham Corp,Germany,Plastic Components,2023-10,23,58972,3562,6.041,D
SUP-0002,"Thompson, Cohen and Deleon Industries",USA,Plastic Components,2023-06,7,29967,677,2.259,B
SUP-0051,Phelps-Martin Pvt Ltd,Mexico,Connectors,2024-03,23,108330,2500,2.308,B
SUP-0027,"Patterson, Anderson and Ford Components",India,Connectors,2025-03,15,36540,1728,4.73,C
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2023-09,23,54027,874,1.618,B
SUP-0066,Lopez and Sons Corp,China,Connectors,2025-08,25,28550,1550,5.432,D
SUP-0011,Nicholson LLC Corp,Poland,Circuit Breakers,2023-11,21,36666,846,2.308,B
SUP-0110,Farmer-Sullivan Pvt Ltd,Poland,Circuit Breakers,2025-12,20,92020,2628,2.856,B
SUP-0008,Young and Sons Industries,Germany,Plastic Components,2023-06,23,10534,81,0.77,A
SUP-0105,Hardy-Hobbs Corp,Germany,Plastic Components,2025-11,11,51601,3043,5.897,D
SUP-0089,"Smith, Smith and Mills Industries",Germany,Metal Components,2024-05,9,27099,738,2.726,B
SUP-0092,"Jackson, Hayes and Hines Components",Poland,Transformers,2023-02,18,65412,5225,7.989,D
SUP-0065,Garrison Group Industries,Mexico,Transformers,2025-10,3,5034,145,2.896,B
SUP-0026,"Novak, Stevens and Wheeler Manufacturing",Germany,Transformers,2025-03,10,47650,3200,6.717,D
SUP-0086,"Jones, Hodge and Ortiz Components",India,Transformers,2024-03,25,106675,5290,4.959,C
SUP-0125,"Campbell, Bennett and Farrell Industries",India,Transformers,2025-02,3,11421,449,3.934,C
SUP-0125,"Campbell, Bennett and Farrell Industries",India,Transformers,2024-09,12,18648,790,4.238,C
SUP-0055,Johnson-Martin Corp,Germany,Circuit Breakers,2025-07,11,29414,1851,6.293,D
SUP-0014,Jenkins Group Industries,Poland,Plastic Components,2025-02,9,29016,1323,4.562,C
SUP-0064,"Ballard, Kelly and Schwartz Group",India,Connectors,2025-03,7,25396,1656,6.522,D
SUP-0083,Burch-Harris Components,USA,Transformers,2024-05,23,72795,1784,2.452,B
SUP-0148,Mills LLC Manufacturing,China,Plastic Components,2023-02,25,98100,2386,2.433,B
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2024-03,18,5814,243,4.184,C
SUP-0066,Lopez and Sons Corp,China,Connectors,2023-04,11,39787,1778,4.469,C
SUP-0025,Reyes PLC GmbH,Germany,Metal Components,2023-06,13,24024,1012,4.214,C
SUP-0073,Adams PLC Industries,India,Switchgear Parts,2024-01,13,45318,1501,3.314,C
SUP-0081,Smith-Pineda Corp,Germany,Connectors,2025-04,12,47808,1401,2.931,B
SUP-0123,Osborne Ltd Components,Mexico,Transformers,2023-01,23,27094,700,2.585,B
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2025-11,6,15168,273,1.805,B
SUP-0097,Campbell PLC Manufacturing,Poland,Switchgear Parts,2025-06,25,109825,3554,3.237,C
SUP-0014,Jenkins Group Industries,Poland,Plastic Components,2025-06,22,46838,3268,6.978,D
SUP-0110,Farmer-Sullivan Pvt Ltd,Poland,Circuit Breakers,2023-08,16,37552,897,2.391,B
SUP-0113,"Garcia, Shepherd and Parrish Components",USA,Metal Components,2024-05,16,64528,3961,6.139,D
SUP-0070,"Francis, Sullivan and Williams Components",China,Circuit Breakers,2023-02,18,72864,2461,3.379,C
SUP-0035,Proctor-Lane GmbH,Poland,Circuit Breakers,2024-05,11,41866,294,0.702,A
SUP-0038,Edwards Ltd Components,Mexico,Transformers,2025-02,7,24899,266,1.069,A
SUP-0034,Owen-Middleton Group,China,Plastic Components,2023-03,20,62040,466,0.751,A
SUP-0038,Edwards Ltd Components,Mexico,Transformers,2023-10,20,95800,641,0.67,A
SUP-0059,Riley PLC Pvt Ltd,China,Transformers,2024-12,24,26016,937,3.602,C
SUP-0111,"Bass, Chung and Hamilton Components",India,Metal Components,2024-11,16,37392,456,1.222,A
SUP-0119,Andrews-Mcdaniel Pvt Ltd,China,Metal Components,2023-11,24,58968,1817,3.081,C
SUP-0066,Lopez and Sons Corp,China,Connectors,2025-04,24,8280,314,3.794,C
SUP-0145,Charles LLC Manufacturing,India,Transformers,2023-01,21,103068,2707,2.627,B
SUP-0031,Miller and Sons Corp,China,Connectors,2024-01,7,3101,142,4.609,C
SUP-0118,Hunter Ltd Pvt Ltd,China,Circuit Breakers,2025-09,18,53136,2876,5.414,D
SUP-0124,Weber LLC Components,Mexico,Switchgear Parts,2023-07,24,43536,1415,3.251,C
SUP-0036,Lin LLC Manufacturing,India,Plastic Components,2023-10,17,20009,164,0.823,A
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2024-05,25,23475,378,1.612,B
SUP-0117,"Santos, Jacobs and Smith Pvt Ltd",Mexico,Plastic Components,2024-07,21,81354,2243,2.757,B
SUP-0131,"Rogers, Mitchell and Simpson Manufacturing",Germany,Metal Components,2024-01,12,30456,976,3.207,C
SUP-0122,"Juarez, Conway and Smith Manufacturing",India,Circuit Breakers,2025-09,20,26100,1018,3.902,C
SUP-0084,Torres-Nelson Components,Germany,Metal Components,2025-09,22,11748,424,3.617,C
SUP-0081,Smith-Pineda Corp,Germany,Connectors,2024-12,24,108240,3677,3.398,C
SUP-0044,Jones-Quinn Pvt Ltd,Mexico,Switchgear Parts,2023-04,2,4912,36,0.746,A
SUP-0138,"Patrick, Watts and Robinson Industries",USA,Switchgear Parts,2025-07,4,6236,328,5.275,D
SUP-0096,"Rodgers, Ochoa and Carter Corp",USA,Metal Components,2024-06,3,6516,229,3.524,C
SUP-0100,"Leon, Warren and Juarez Group",Poland,Plastic Components,2024-09,15,18315,702,3.838,C
SUP-0026,"Novak, Stevens and Wheeler Manufacturing",Germany,Transformers,2025-12,25,96725,7180,7.423,D
SUP-0132,Patel-Gamble Industries,Poland,Connectors,2024-09,22,74778,1428,1.911,B
SUP-0111,"Bass, Chung and Hamilton Components",India,Metal Components,2025-01,12,9708,83,0.862,A
SUP-0136,Duarte-Butler Group,USA,Circuit Breakers,2025-11,16,9920,161,1.632,B
SUP-0117,"Santos, Jacobs and Smith Pvt Ltd",Mexico,Plastic Components,2023-06,23,65297,1620,2.481,B
SUP-0130,Schneider-Rhodes Components,India,Plastic Components,2025-07,24,105816,6169,5.83,D
SUP-0149,Tran-Reynolds Corp,Germany,Connectors,2025-11,7,32011,2037,6.366,D
SUP-0145,Charles LLC Manufacturing,India,Transformers,2024-07,7,10948,292,2.667,B
SUP-0125,"Campbell, Bennett and Farrell Industries",India,Transformers,2023-08,4,8464,320,3.785,C
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2025-05,16,33568,999,2.977,B
SUP-0116,Chen-Mills Corp,China,Metal Components,2024-05,3,1203,55,4.574,C
SUP-0033,Knox-Smith Group,India,Connectors,2025-03,3,918,50,5.468,D
SUP-0046,"Patterson, Thornton and Taylor Components",Mexico,Metal Components,2025-07,19,60819,1855,3.051,C
SUP-0110,Farmer-Sullivan Pvt Ltd,Poland,Circuit Breakers,2024-05,6,15078,406,2.698,B
SUP-0145,Charles LLC Manufacturing,India,Transformers,2023-04,17,6069,110,1.821,B
SUP-0050,Oconnor-Anderson Components,Poland,Plastic Components,2025-03,20,5440,155,2.856,B
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2025-05,10,42370,1309,3.09,C
SUP-0132,Patel-Gamble Industries,Poland,Connectors,2024-06,16,48416,1212,2.504,B
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2025-06,11,30481,925,3.037,C
SUP-0028,"Oconnor, Cole and Mata Corp",China,Circuit Breakers,2024-07,20,64040,562,0.878,A
SUP-0103,Peters-Garcia Components,China,Switchgear Parts,2024-01,12,31452,302,0.961,A
SUP-0035,Proctor-Lane GmbH,Poland,Circuit Breakers,2023-02,9,7587,78,1.041,A
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2023-10,14,19334,1202,6.217,D
SUP-0032,"Townsend, King and Daugherty Components",Poland,Plastic Components,2024-10,24,118512,3526,2.975,B
SUP-0010,Weaver Ltd Corp,India,Circuit Breakers,2024-07,25,36625,396,1.083,A
SUP-0113,"Garcia, Shepherd and Parrish Components",USA,Metal Components,2023-09,23,49220,2614,5.311,D
SUP-0015,Chan LLC Manufacturing,India,Connectors,2024-05,18,54576,3005,5.507,D
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2024-01,10,4100,72,1.773,B
SUP-0059,Riley PLC Pvt Ltd,China,Transformers,2023-12,14,49336,1580,3.204,C
SUP-0143,Morris Ltd Group,Mexico,Connectors,2023-01,16,79056,771,0.976,A
SUP-0099,Ruiz LLC Components,Poland,Plastic Components,2025-01,6,22806,465,2.043,B
SUP-0055,Johnson-Martin Corp,Germany,Circuit Breakers,2023-02,2,2100,109,5.233,D
SUP-0112,"Martin, Ritter and Thomas Group",Poland,Transformers,2023-02,20,65700,5256,8.0,D
SUP-0111,"Bass, Chung and Hamilton Components",India,Metal Components,2023-09,23,92667,762,0.822,A
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2023-09,24,27648,735,2.66,B
SUP-0087,Taylor Ltd Corp,Germany,Connectors,2025-05,2,862,36,4.234,C
SUP-0130,Schneider-Rhodes Components,India,Plastic Components,2024-02,8,8000,635,7.943,D
SUP-0039,Adams Inc Components,Germany,Metal Components,2024-07,8,10992,159,1.45,A
SUP-0048,Jenkins-Bell Pvt Ltd,USA,Circuit Breakers,2024-04,23,29532,1636,5.54,D
SUP-0059,Riley PLC Pvt Ltd,China,Transformers,2025-08,19,21546,889,4.126,C
SUP-0022,Howard-Morrison Pvt Ltd,India,Connectors,2023-01,25,11800,320,2.712,B
SUP-0136,Duarte-Butler Group,USA,Circuit Breakers,2023-08,23,56511,761,1.348,A
SUP-0076,"Waters, Castillo and Smith Pvt Ltd",Germany,Metal Components,2023-02,9,25101,1048,4.177,C
SUP-0005,"Turner, Ingram and Davis Components",Germany,Plastic Components,2023-02,22,6754,176,2.61,B
SUP-0140,"Baker, Sutton and Williams Manufacturing",India,Plastic Components,2024-12,25,118075,8156,6.908,D
SUP-0148,Mills LLC Manufacturing,China,Plastic Components,2025-02,5,7215,127,1.766,B
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2025-11,14,65786,4104,6.239,D
SUP-0067,Woods-Liu Group,China,Transformers,2025-01,24,109632,5477,4.996,C
SUP-0017,"Anderson, Smith and Hale Manufacturing",Poland,Switchgear Parts,2024-06,4,8440,288,3.419,C
SUP-0075,White Inc Corp,India,Connectors,2023-10,3,6519,32,0.5,A
SUP-0083,Burch-Harris Components,USA,Transformers,2023-08,19,80693,2122,2.631,B
SUP-0140,"Baker, Sutton and Williams Manufacturing",India,Plastic Components,2023-01,9,20673,1653,8.0,D
SUP-0031,Miller and Sons Corp,China,Connectors,2023-07,20,19240,1421,7.39,D
SUP-0006,"Kent, Jackson and Thomas GmbH",China,Transformers,2023-03,13,38805,452,1.165,A
SUP-0074,"Garcia, Huang and Martin Group",Germany,Metal Components,2024-07,20,78700,4733,6.015,D
SUP-0018,"Willis, Bauer and Hardin Group",China,Switchgear Parts,2023-01,19,37335,286,0.766,A
SUP-0089,"Smith, Smith and Mills Industries",Germany,Metal Components,2025-11,15,62055,1451,2.339,B
SUP-0041,"Alvarado, Merritt and Little Pvt Ltd",Germany,Connectors,2023-12,23,98532,1153,1.171,A
SUP-0032,"Townsend, King and Daugherty Components",Poland,Plastic Components,2023-05,3,14769,532,3.608,C
SUP-0008,Young and Sons Industries,Germany,Plastic Components,2024-12,2,1896,15,0.802,A
SUP-0074,"Garcia, Huang and Martin Group",Germany,Metal Components,2023-09,5,13745,477,3.476,C
SUP-0146,"Anthony, Martin and Osborne GmbH",India,Plastic Components,2023-12,23,66125,3560,5.384,D
SUP-0149,Tran-Reynolds Corp,Germany,Connectors,2024-05,11,47718,2422,5.078,D
SUP-0071,"Weber, Lawson and Hicks Corp",Germany,Connectors,2025-08,8,28144,1678,5.962,D
SUP-0026,"Novak, Stevens and Wheeler Manufacturing",Germany,Transformers,2025-03,2,4236,303,7.155,D
SUP-0006,"Kent, Jackson and Thomas GmbH",China,Transformers,2025-02,18,79308,1481,1.869,B
SUP-0025,Reyes PLC GmbH,Germany,Metal Components,2023-04,24,10800,525,4.866,C
SUP-0035,Proctor-Lane GmbH,Poland,Circuit Breakers,2024-02,24,21336,227,1.068,A
SUP-0064,"Ballard, Kelly and Schwartz Group",India,Connectors,2024-10,24,84264,4475,5.311,D
SUP-0091,Ramirez Ltd Manufacturing,Poland,Connectors,2024-09,5,11480,635,5.534,D
SUP-0041,"Alvarado, Merritt and Little Pvt Ltd",Germany,Connectors,2025-09,15,64260,512,0.797,A
SUP-0138,"Patrick, Watts and Robinson Industries",USA,Switchgear Parts,2024-12,2,7390,427,5.781,D
SUP-0018,"Willis, Bauer and Hardin Group",China,Switchgear Parts,2024-01,10,15740,89,0.57,A
SUP-0046,"Patterson, Thornton and Taylor Components",Mexico,Metal Components,2023-04,10,9830,426,4.339,C
SUP-0149,Tran-Reynolds Corp,Germany,Connectors,2024-11,7,33887,2254,6.654,D
SUP-0023,Montoya and Sons Industries,India,Switchgear Parts,2025-02,15,6750,252,3.735,C
SUP-0132,Patel-Gamble Industries,Poland,Connectors,2025-01,2,3650,107,2.957,B
SUP-0019,Nelson LLC Manufacturing,India,Switchgear Parts,2025-10,15,55860,568,1.018,A
SUP-0061,Cox Ltd Corp,USA,Metal Components,2023-05,9,16479,612,3.72,C
SUP-0104,Bryant Inc Group,Poland,Metal Components,2023-12,25,17000,1014,5.966,D
SUP-0086,"Jones, Hodge and Ortiz Components",India,Transformers,2025-10,2,8982,551,6.139,D
SUP-0126,Powell-Morris Group,Germany,Connectors,2023-06,9,42840,2073,4.839,C
SUP-0142,Campbell and Sons Industries,USA,Transformers,2024-03,16,39472,2167,5.492,D
SUP-0047,Ramirez-Castro Pvt Ltd,China,Metal Components,2025-04,19,44460,2234,5.025,D
SUP-0002,"Thompson, Cohen and Deleon Industries",USA,Plastic Components,2025-10,3,2793,69,2.501,B
SUP-0150,Turner Inc Manufacturing,Germany,Plastic Components,2023-04,9,7929,150,1.894,B
SUP-0034,Owen-Middleton Group,China,Plastic Components,2024-05,24,22104,198,0.898,A
SUP-0003,"Bell, Clayton and Diaz Pvt Ltd",China,Connectors,2025-07,6,9396,361,3.847,C
SUP-0126,Powell-Morris Group,Germany,Connectors,2024-03,13,62439,4295,6.88,D
SUP-0059,Riley PLC Pvt Ltd,China,Transformers,2023-10,9,35910,1140,3.177,C
SUP-0088,Sanchez and Sons GmbH,Germany,Metal Components,2023-10,25,85100,925,1.088,A
SUP-0122,"Juarez, Conway and Smith Manufacturing",India,Circuit Breakers,2024-03,12,25668,981,3.823,C
SUP-0096,"Rodgers, Ochoa and Carter Corp",USA,Metal Components,2023-02,6,4242,175,4.137,C
SUP-0012,Scott-Schmidt Group,Poland,Transformers,2023-11,3,2652,45,1.727,B
SUP-0128,Williams Inc GmbH,Poland,Metal Components,2024-01,14,55188,759,1.377,A
SUP-0023,Montoya and Sons Industries,India,Switchgear Parts,2023-08,23,22885,959,4.194,C
SUP-0075,White Inc Corp,India,Connectors,2023-12,2,7844,54,0.694,A
SUP-0138,"Patrick, Watts and Robinson Industries",USA,Switchgear Parts,2024-11,6,21030,815,3.88,C
SUP-0126,Powell-Morris Group,Germany,Connectors,2025-02,17,7463,548,7.345,D
SUP-0033,Knox-Smith Group,India,Connectors,2023-04,25,99175,5727,5.775,D
SUP-0055,Johnson-Martin Corp,Germany,Circuit Breakers,2024-04,14,4662,208,4.482,C
SUP-0016,"Lopez, Phillips and Ramirez Manufacturing",USA,Connectors,2023-11,5,8800,267,3.035,C
SUP-0028,"Oconnor, Cole and Mata Corp",China,Circuit Breakers,2025-11,17,58888,505,0.858,A
SUP-0131,"Rogers, Mitchell and Simpson Manufacturing",Germany,Metal Components,2025-03,6,21804,614,2.819,B
SUP-0081,Smith-Pineda Corp,Germany,Connectors,2024-03,22,34694,612,1.766,B
SUP-0096,"Rodgers, Ochoa and Carter Corp",USA,Metal Components,2023-12,6,3564,220,6.185,D
SUP-0033,Knox-Smith Group,India,Connectors,2025-12,3,1686,97,5.788,D
SUP-0145,Charles LLC Manufacturing,India,Transformers,2023-07,16,30432,948,3.117,C
SUP-0131,"Rogers, Mitchell and Simpson Manufacturing",Germany,Metal Components,2025-11,13,39052,813,2.084,B
SUP-0114,Davis and Sons Manufacturing,India,Transformers,2025-09,18,56124,558,0.995,A
SUP-0006,"Kent, Jackson and Thomas GmbH",China,Transformers,2025-09,9,20151,276,1.372,A
SUP-0021,Aguilar-Vasquez Manufacturing,India,Transformers,2024-10,24,31920,344,1.079,A
SUP-0150,Turner Inc Manufacturing,Germany,Plastic Components,2024-05,21,96033,2040,2.125,B
SUP-0029,Rodriguez Inc Corp,Germany,Plastic Components,2024-10,4,11316,716,6.331,D
SUP-0117,"Santos, Jacobs and Smith Pvt Ltd",Mexico,Plastic Components,2024-04,11,2222,55,2.508,B
SUP-0021,Aguilar-Vasquez Manufacturing,India,Transformers,2024-08,2,9934,123,1.245,A
SUP-0034,Owen-Middleton Group,China,Plastic Components,2024-08,21,7875,49,0.63,A
SUP-0093,Roach-Jackson Corp,China,Plastic Components,2024-01,5,13875,187,1.35,A
SUP-0134,Davis-Lopez Components,India,Switchgear Parts,2023-12,13,58370,3914,6.706,D
SUP-0045,Garcia-Deleon Corp,China,Switchgear Parts,2024-12,22,83424,430,0.516,A
SUP-0053,Collins Group GmbH,Poland,Plastic Components,2024-09,24,69384,1426,2.057,B
SUP-0149,Tran-Reynolds Corp,Germany,Connectors,2025-03,21,20160,813,4.035,C
SUP-0045,Garcia-Deleon Corp,China,Switchgear Parts,2025-07,9,31977,202,0.632,A
SUP-0129,"Mooney, Clayton and Oneal Corp",China,Plastic Components,2025-01,5,18625,107,0.576,A
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2023-03,10,17640,1190,6.747,D
SUP-0129,"Mooney, Clayton and Oneal Corp",China,Plastic Components,2023-03,19,23978,169,0.706,A
SUP-0007,Mitchell Ltd Manufacturing,Germany,Metal Components,2023-06,3,3030,94,3.118,C
SUP-0029,Rodriguez Inc Corp,Germany,Plastic Components,2025-06,4,17948,976,5.443,D
