supplierid,suppliername,supplierregion,componenttype,month,deliveries,unitsreceived,defectiveunits,defectrate,supplierrating,risk_score,risk_category
SUP-0150,Turner Inc Manufacturing,Germany,Plastic Components,2024-07,18,85230,1486,1.744,B,1.6408,Low
SUP-0089,"Smith, Smith and Mills Industries",Germany,Metal Components,2025-07,22,104896,2236,2.132,B,2.1736000000000004,Low
SUP-0133,Freeman Ltd Pvt Ltd,Mexico,Transformers,2025-07,18,17370,651,3.751,C,2.511,Low
SUP-0137,Wells PLC Corp,Mexico,Switchgear Parts,2024-08,4,15604,459,2.948,B,1.9524,Low
SUP-0042,"Salinas, Nelson and Baker Components",India,Metal Components,2024-07,4,11340,552,4.872,C,3.144,Low
SUP-0109,Frye-Le GmbH,Poland,Plastic Components,2023-12,15,35175,1068,3.036,C,2.2488,Low
SUP-0046,"Patterson, Thornton and Taylor Components",Mexico,Metal Components,2024-09,21,69867,3028,4.334,C,3.8115999999999994,Low
SUP-0002,"Thompson, Cohen and Deleon Industries",USA,Plastic Components,2023-04,21,95256,3704,3.889,C,3.815,Low
SUP-0091,Ramirez Ltd Manufacturing,Poland,Connectors,2023-08,10,38480,1930,5.017,D,3.7822000000000005,Low
SUP-0092,"Jackson, Hayes and Hines Components",Poland,Transformers,2025-06,20,29020,1160,3.999,C,2.8634,Low
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2023-05,24,101784,2272,2.232,B,2.248,Low
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2024-11,5,5290,88,1.676,B,1.0407999999999997,Low
SUP-0134,Davis-Lopez Components,India,Switchgear Parts,2025-04,7,32809,1542,4.702,C,3.4379999999999997,Low
SUP-0098,Beck Inc Manufacturing,Poland,Switchgear Parts,2025-10,16,15616,319,2.046,B,1.3551999999999997,Low
SUP-0032,"Townsend, King and Daugherty Components",Poland,Plastic Components,2024-07,14,44520,1686,3.789,C,2.9478,Low
SUP-0070,"Francis, Sullivan and Williams Components",China,Circuit Breakers,2023-03,18,23418,401,1.716,B,1.19,Low
SUP-0021,Aguilar-Vasquez Manufacturing,India,Transformers,2024-06,5,6330,66,1.05,A,0.6564,Low
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2023-11,13,50960,1206,2.367,B,1.9025999999999998,Low
SUP-0001,Fowler-Bell Manufacturing,USA,Transformers,2025-03,15,37575,803,2.139,B,1.6046,Low
SUP-0135,Henry-Graham Corp,Germany,Plastic Components,2023-10,23,58972,3562,6.041,D,5.0494,Medium
SUP-0002,"Thompson, Cohen and Deleon Industries",USA,Plastic Components,2023-06,7,29967,677,2.259,B,1.6261999999999999,Low
SUP-0051,Phelps-Martin Pvt Ltd,Mexico,Connectors,2024-03,23,108330,2500,2.308,B,2.3848,Low
SUP-0027,"Patterson, Anderson and Ford Components",India,Connectors,2025-03,15,36540,1728,4.73,C,3.5292000000000003,Low
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2023-09,23,54027,874,1.618,B,1.3204,Low
SUP-0066,Lopez and Sons Corp,China,Connectors,2025-08,25,28550,1550,5.432,D,3.8792000000000004,Low
SUP-0011,Nicholson LLC Corp,Poland,Circuit Breakers,2023-11,21,36666,846,2.308,B,1.7231999999999998,Low
SUP-0110,Farmer-Sullivan Pvt Ltd,Poland,Circuit Breakers,2025-12,20,92020,2628,2.856,B,2.7648,Low
SUP-0008,Young and Sons Industries,Germany,Plastic Components,2023-06,23,10534,81,0.77,A,0.49439999999999995,Low
SUP-0105,Hardy-Hobbs Corp,Germany,Plastic Components,2025-11,11,51601,3043,5.897,D,4.7554,Low
SUP-0089,"Smith, Smith and Mills Industries",Germany,Metal Components,2024-05,9,27099,738,2.726,B,1.9308,Low
SUP-0092,"Jackson, Hayes and Hines Components",Poland,Transformers,2023-02,18,65412,5225,7.989,D,6.8834,Medium
SUP-0065,Garrison Group Industries,Mexico,Transformers,2025-10,3,5034,145,2.896,B,1.7955999999999999,Low
SUP-0026,"Novak, Stevens and Wheeler Manufacturing",Germany,Transformers,2025-03,10,47650,3200,6.717,D,5.3102,Medium
SUP-0086,"Jones, Hodge and Ortiz Components",India,Transformers,2024-03,25,106675,5290,4.959,C,5.0914,Medium
SUP-0125,"Campbell, Bennett and Farrell Industries",India,Transformers,2025-02,3,11421,449,3.934,C,2.54,Low
SUP-0125,"Campbell, Bennett and Farrell Industries",India,Transformers,2024-09,12,18648,790,4.238,C,2.8588000000000005,Low
SUP-0055,Johnson-Martin Corp,Germany,Circuit Breakers,2025-07,11,29414,1851,6.293,D,4.5161999999999995,Low
SUP-0014,Jenkins Group Industries,Poland,Plastic Components,2025-02,9,29016,1323,4.562,C,3.2664,Low
SUP-0064,"Ballard, Kelly and Schwartz Group",India,Connectors,2025-03,7,25396,1656,6.522,D,4.5756,Low
SUP-0083,Burch-Harris Components,USA,Transformers,2024-05,23,72795,1784,2.452,B,2.1848,Low
SUP-0148,Mills LLC Manufacturing,China,Plastic Components,2023-02,25,98100,2386,2.433,B,2.4142,Low
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2024-03,18,5814,243,4.184,C,2.6076,Low
SUP-0066,Lopez and Sons Corp,China,Connectors,2023-04,11,39787,1778,4.469,C,3.3926,Low
SUP-0025,Reyes PLC GmbH,Germany,Metal Components,2023-06,13,24024,1012,4.214,C,2.9332000000000003,Low
SUP-0073,Adams PLC Industries,India,Switchgear Parts,2024-01,13,45318,1501,3.314,C,2.5888,Low
SUP-0081,Smith-Pineda Corp,Germany,Connectors,2025-04,12,47808,1401,2.931,B,2.319,Low
SUP-0123,Osborne Ltd Components,Mexico,Transformers,2023-01,23,27094,700,2.585,B,1.831,Low
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2025-11,6,15168,273,1.805,B,1.1922,Low
SUP-0097,Campbell PLC Manufacturing,Poland,Switchgear Parts,2025-06,25,109825,3554,3.237,C,3.3638,Low
SUP-0014,Jenkins Group Industries,Poland,Plastic Components,2025-06,22,46838,3268,6.978,D,5.494,Medium
SUP-0110,Farmer-Sullivan Pvt Ltd,Poland,Circuit Breakers,2023-08,16,37552,897,2.391,B,1.7933999999999999,Low
SUP-0113,"Garcia, Shepherd and Parrish Components",USA,Metal Components,2024-05,16,64528,3961,6.139,D,5.267799999999999,Medium
SUP-0070,"Francis, Sullivan and Williams Components",China,Circuit Breakers,2023-02,18,72864,2461,3.379,C,3.0118,Low
SUP-0035,Proctor-Lane GmbH,Poland,Circuit Breakers,2024-05,11,41866,294,0.702,A,0.5388,Low
SUP-0038,Edwards Ltd Components,Mexico,Transformers,2025-02,7,24899,266,1.069,A,0.7478,Low
SUP-0034,Owen-Middleton Group,China,Plastic Components,2023-03,20,62040,466,0.751,A,0.637,Low
SUP-0038,Edwards Ltd Components,Mexico,Transformers,2023-10,20,95800,641,0.67,A,0.6584000000000001,Low
SUP-0059,Riley PLC Pvt Ltd,China,Transformers,2024-12,24,26016,937,3.602,C,2.536,Low
SUP-0111,"Bass, Chung and Hamilton Components",India,Metal Components,2024-11,16,37392,456,1.222,A,0.9156,Low
SUP-0119,Andrews-Mcdaniel Pvt Ltd,China,Metal Components,2023-11,24,58968,1817,3.081,C,2.5753999999999997,Low
SUP-0066,Lopez and Sons Corp,China,Connectors,2025-04,24,8280,314,3.794,C,2.4019999999999997,Low
SUP-0145,Charles LLC Manufacturing,India,Transformers,2023-01,21,103068,2707,2.627,B,2.659,Low
SUP-0031,Miller and Sons Corp,China,Connectors,2024-01,7,3101,142,4.609,C,2.8222,Low
SUP-0118,Hunter Ltd Pvt Ltd,China,Circuit Breakers,2025-09,18,53136,2876,5.414,D,4.3988,Low
SUP-0124,Weber LLC Components,Mexico,Switchgear Parts,2023-07,24,43536,1415,3.251,C,2.5166,Low
SUP-0036,Lin LLC Manufacturing,India,Plastic Components,2023-10,17,20009,164,0.823,A,0.5594,Low
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2024-05,25,23475,378,1.612,B,1.1184,Low
SUP-0117,"Santos, Jacobs and Smith Pvt Ltd",Mexico,Plastic Components,2024-07,21,81354,2243,2.757,B,2.5514,Low
SUP-0131,"Rogers, Mitchell and Simpson Manufacturing",Germany,Metal Components,2024-01,12,30456,976,3.207,C,2.3146,Low
SUP-0122,"Juarez, Conway and Smith Manufacturing",India,Circuit Breakers,2025-09,20,26100,1018,3.902,C,2.7484,Low
SUP-0084,Torres-Nelson Components,Germany,Metal Components,2025-09,22,11748,424,3.617,C,2.3398,Low
SUP-0081,Smith-Pineda Corp,Germany,Connectors,2024-12,24,108240,3677,3.398,C,3.5096000000000003,Low
SUP-0044,Jones-Quinn Pvt Ltd,Mexico,Switchgear Parts,2023-04,2,4912,36,0.746,A,0.462,Low
SUP-0138,"Patrick, Watts and Robinson Industries",USA,Switchgear Parts,2025-07,4,6236,328,5.275,D,3.2962000000000002,Low
SUP-0096,"Rodgers, Ochoa and Carter Corp",USA,Metal Components,2024-06,3,6516,229,3.524,C,2.206,Low
SUP-0100,"Leon, Warren and Juarez Group",Poland,Plastic Components,2024-09,15,18315,702,3.838,C,2.5836,Low
SUP-0026,"Novak, Stevens and Wheeler Manufacturing",Germany,Transformers,2025-12,25,96725,7180,7.423,D,7.3258,Medium
SUP-0132,Patel-Gamble Industries,Poland,Connectors,2024-09,22,74778,1428,1.911,B,1.7178,Low
SUP-0111,"Bass, Chung and Hamilton Components",India,Metal Components,2025-01,12,9708,83,0.862,A,0.5504,Low
SUP-0136,Duarte-Butler Group,USA,Circuit Breakers,2025-11,16,9920,161,1.632,B,1.0435999999999999,Low
SUP-0117,"Santos, Jacobs and Smith Pvt Ltd",Mexico,Plastic Components,2023-06,23,65297,1620,2.481,B,2.1366,Low
SUP-0130,Schneider-Rhodes Components,India,Plastic Components,2025-07,24,105816,6169,5.83,D,5.9656,Medium
SUP-0149,Tran-Reynolds Corp,Germany,Connectors,2025-11,7,32011,2037,6.366,D,4.634399999999999,Low
SUP-0145,Charles LLC Manufacturing,India,Transformers,2024-07,7,10948,292,2.667,B,1.7169999999999999,Low
SUP-0125,"Campbell, Bennett and Farrell Industries",India,Transformers,2023-08,4,8464,320,3.785,C,2.399,Low
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2025-05,16,33568,999,2.977,B,2.1858,Low
SUP-0116,Chen-Mills Corp,China,Metal Components,2024-05,3,1203,55,4.574,C,2.7663999999999995,Low
SUP-0033,Knox-Smith Group,India,Connectors,2025-03,3,918,50,5.468,D,3.3007999999999997,Low
SUP-0046,"Patterson, Thornton and Taylor Components",Mexico,Metal Components,2025-07,19,60819,1855,3.051,C,2.5726,Low
SUP-0110,Farmer-Sullivan Pvt Ltd,Poland,Circuit Breakers,2024-05,6,15078,406,2.698,B,1.7812000000000001,Low
SUP-0145,Charles LLC Manufacturing,India,Transformers,2023-04,17,6069,110,1.821,B,1.1366,Low
SUP-0050,Oconnor-Anderson Components,Poland,Plastic Components,2025-03,20,5440,155,2.856,B,1.7755999999999998,Low
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2025-05,10,42370,1309,3.09,C,2.3775999999999997,Low
SUP-0132,Patel-Gamble Industries,Poland,Connectors,2024-06,16,48416,1212,2.504,B,1.9872,Low
SUP-0060,Vaughan LLC Group,Mexico,Metal Components,2025-06,11,30481,925,3.037,C,2.1921999999999997,Low
SUP-0028,"Oconnor, Cole and Mata Corp",China,Circuit Breakers,2024-07,20,64040,562,0.878,A,0.7515999999999999,Low
SUP-0103,Peters-Garcia Components,China,Switchgear Parts,2024-01,12,31452,302,0.961,A,0.6974,Low
SUP-0035,Proctor-Lane GmbH,Poland,Circuit Breakers,2023-02,9,7587,78,1.041,A,0.6557999999999999,Low
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2023-10,14,19334,1202,6.217,D,4.210999999999999,Low
SUP-0032,"Townsend, King and Daugherty Components",Poland,Plastic Components,2024-10,24,118512,3526,2.975,B,3.1954000000000002,Low
SUP-0010,Weaver Ltd Corp,India,Circuit Breakers,2024-07,25,36625,396,1.083,A,0.8081999999999999,Low
SUP-0113,"Garcia, Shepherd and Parrish Components",USA,Metal Components,2023-09,23,49220,2614,5.311,D,4.2322,Low
SUP-0015,Chan LLC Manufacturing,India,Connectors,2024-05,18,54576,3005,5.507,D,4.5062,Low
SUP-0144,"Fisher, Thomas and Harrington Manufacturing",Mexico,Switchgear Parts,2024-01,10,4100,72,1.773,B,1.0925999999999998,Low
SUP-0059,Riley PLC Pvt Ltd,China,Transformers,2023-12,14,49336,1580,3.204,C,2.5544000000000002,Low
SUP-0143,Morris Ltd Group,Mexico,Connectors,2023-01,16,79056,771,0.976,A,0.894,Low
SUP-0099,Ruiz LLC Components,Poland,Plastic Components,2025-01,6,22806,465,2.043,B,1.4118,Low
SUP-0055,Johnson-Martin Corp,Germany,Circuit Breakers,2023-02,2,2100,109,5.233,D,3.1834,Low
SUP-0112,"Martin, Ritter and Thomas Group",Poland,Transformers,2023-02,20,65700,5256,8.0,D,6.9024,Medium
SUP-0111,"Bass, Chung and Hamilton Components",India,Metal Components,2023-09,23,92667,762,0.822,A,0.798,Low
SUP-0049,"Jackson, Stephens and Stout Components",Poland,Circuit Breakers,2023-09,24,27648,735,2.66,B,1.8900000000000001,Low
SUP-0087,Taylor Ltd Corp,Germany,Connectors,2025-05,2,862,36,4.234,C,2.5548,Low
SUP-0130,Schneider-Rhodes Components,India,Plastic Components,2024-02,8,8000,635,7.943,D,5.0198,Medium
SUP-0039,Adams Inc Components,Germany,Metal Components,2024-07,8,10992,159,1.45,A,0.9336,Low
SUP-0048,Jenkins-Bell Pvt Ltd,USA,Circuit Breakers,2024-04,23,29532,1636,5.54,D,3.9783999999999997,Low
SUP-0059,Riley PLC Pvt Ltd,China,Transformers,2025-08,19,21546,889,4.126,C,2.8312,Low
SUP-0022,Howard-Morrison Pvt Ltd,India,Connectors,2023-01,25,11800,320,2.712,B,1.7551999999999999,Low
SUP-0136,Duarte-Butler Group,USA,Circuit Breakers,2023-08,23,56511,761,1.348,A,1.1132,Low
SUP-0076,"Waters, Castillo and Smith Pvt Ltd",Germany,Metal Components,2023-02,9,25101,1048,4.177,C,2.9254,Low
SUP-0005,"Turner, Ingram and Davis Components",Germany,Plastic Components,2023-02,22,6754,176,2.61,B,1.6363999999999999,Low
SUP-0140,"Baker, Sutton and Williams Manufacturing",India,Plastic Components,2024-12,25,118075,8156,6.908,D,7.4072000000000005,Medium
SUP-0148,Mills LLC Manufacturing,China,Plastic Components,2025-02,5,7215,127,1.766,B,1.1103999999999998,Low
SUP-0058,"Parker, West and Jacobs Industries",USA,Plastic Components,2025-11,14,65786,4104,6.239,D,5.385,Medium
SUP-0067,Woods-Liu Group,China,Transformers,2025-01,24,109632,5477,4.996,C,5.188400000000001,Medium
SUP-0017,"Anderson, Smith and Hale Manufacturing",Poland,Switchgear Parts,2024-06,4,8440,288,3.419,C,2.1666000000000003,Low
SUP-0075,White Inc Corp,India,Connectors,2023-10,3,6519,32,0.5,A,0.31279999999999997,Low
SUP-0083,Burch-Harris Components,USA,Transformers,2023-08,19,80693,2122,2.631,B,2.4273999999999996,Low
SUP-0140,"Baker, Sutton and Williams Manufacturing",India,Plastic Components,2023-01,9,20673,1653,8.0,D,5.4612,Medium
SUP-0031,Miller and Sons Corp,China,Connectors,2023-07,20,19240,1421,7.39,D,5.0024,Medium
SUP-0006,"Kent, Jackson and Thomas GmbH",China,Transformers,2023-03,13,38805,452,1.165,A,0.8797999999999999,Low
SUP-0074,"Garcia, Huang and Martin Group",Germany,Metal Components,2024-07,20,78700,4733,6.015,D,5.502199999999999,Medium
SUP-0018,"Willis, Bauer and Hardin Group",China,Switchgear Parts,2023-01,19,37335,286,0.766,A,0.5740000000000001,Low
SUP-0089,"Smith, Smith and Mills Industries",Germany,Metal Components,2025-11,15,62055,1451,2.339,B,1.9838,Low
SUP-0041,"Alvarado, Merritt and Little Pvt Ltd",Germany,Connectors,2023-12,23,98532,1153,1.171,A,1.1638000000000002,Low
SUP-0032,"Townsend, King and Daugherty Components",Poland,Plastic Components,2023-05,3,14769,532,3.608,C,2.3776,Low
SUP-0008,Young and Sons Industries,Germany,Plastic Components,2024-12,2,1896,15,0.802,A,0.4872,Low
SUP-0074,"Garcia, Huang and Martin Group",Germany,Metal Components,2023-09,5,13745,477,3.476,C,2.2763999999999998,Low
SUP-0146,"Anthony, Martin and Osborne GmbH",India,Plastic Components,2023-12,23,66125,3560,5.384,D,4.6544,Low
SUP-0149,Tran-Reynolds Corp,Germany,Connectors,2024-05,11,47718,2422,5.078,D,4.0156,Low
SUP-0071,"Weber, Lawson and Hicks Corp",Germany,Connectors,2025-08,8,28144,1678,5.962,D,4.2484,Low
SUP-0026,"Novak, Stevens and Wheeler Manufacturing",Germany,Transformers,2025-03,2,4236,303,7.155,D,4.4142,Low
SUP-0006,"Kent, Jackson and Thomas GmbH",China,Transformers,2025-02,18,79308,1481,1.869,B,1.7138,Low
SUP-0025,Reyes PLC GmbH,Germany,Metal Components,2023-04,24,10800,525,4.866,C,3.1295999999999995,Low
SUP-0035,Proctor-Lane GmbH,Poland,Circuit Breakers,2024-02,24,21336,227,1.068,A,0.7316,Low
SUP-0064,"Ballard, Kelly and Schwartz Group",India,Connectors,2024-10,24,84264,4475,5.311,D,4.9765999999999995,Low
SUP-0091,Ramirez Ltd Manufacturing,Poland,Connectors,2024-09,5,11480,635,5.534,D,3.5744,Low
SUP-0041,"Alvarado, Merritt and Little Pvt Ltd",Germany,Connectors,2025-09,15,64260,512,0.797,A,0.683,Low
SUP-0138,"Patrick, Watts and Robinson Industries",USA,Switchgear Parts,2024-12,2,7390,427,5.781,D,3.6393999999999997,Low
SUP-0018,"Willis, Bauer and Hardin Group",China,Switchgear Parts,2024-01,10,15740,89,0.57,A,0.3776,Low
SUP-0046,"Patterson, Thornton and Taylor Components",Mexico,Metal Components,2023-04,10,9830,426,4.339,C,2.7738,Low
SUP-0149,Tran-Reynolds Corp,Germany,Connectors,2024-11,7,33887,2254,6.654,D,4.894,Low
SUP-0023,Montoya and Sons Industries,India,Switchgear Parts,2025-02,15,6750,252,3.735,C,2.3417999999999997,Low
SUP-0132,Patel-Gamble Industries,Poland,Connectors,2025-01,2,3650,107,2.957,B,1.8169999999999997,Low
SUP-0019,Nelson LLC Manufacturing,India,Switchgear Parts,2025-10,15,55860,568,1.018,A,0.838,Low
SUP-0061,Cox Ltd Corp,USA,Metal Components,2023-05,9,16479,612,3.72,C,2.4768000000000003,Low
SUP-0104,Bryant Inc Group,Poland,Metal Components,2023-12,25,17000,1014,5.966,D,3.9852000000000003,Low
SUP-0086,"Jones, Hodge and Ortiz Components",India,Transformers,2025-10,2,8982,551,6.139,D,3.9038,Low
SUP-0126,Powell-Morris Group,Germany,Connectors,2023-06,9,42840,2073,4.839,C,3.7326,Low
SUP-0142,Campbell and Sons Industries,USA,Transformers,2024-03,16,39472,2167,5.492,D,4.162,Low
SUP-0047,Ramirez-Castro Pvt Ltd,China,Metal Components,2025-04,19,44460,2234,5.025,D,3.9086000000000003,Low
SUP-0002,"Thompson, Cohen and Deleon Industries",USA,Plastic Components,2025-10,3,2793,69,2.501,B,1.5282,Low
