EmployeeID,Department,JobRole,TrainingCourse,TrainingDate,ExpiryDate,TrainingStatus,ComplianceStatus
EMP-10045,HR,Training Coordinator,ISO 9001 Awareness,2024-06-09,2025-06-09,Expired,Compliant
EMP-10046,Warehouse,Forklift Operator,Internal Auditor Training,2025-09-20,2027-09-20,Completed,Compliant
EMP-10047,Supply Chain,Planner,Internal Auditor Training,2023-12-27,2024-12-26,Expired,Compliant
EMP-10048,Warehouse,Inventory Clerk,Internal Auditor Training,2024-07-31,2025-07-31,Expired,Compliant
EMP-10049,Manufacturing,Production Supervisor,5S Lean Manufacturing,2024-12-23,2025-12-23,Completed,Compliant
EMP-10050,Supply Chain,Buyer,Safety Training,2025-04-11,2026-04-11,Completed,Compliant
EMP-10051,Supply Chain,Logistics Coordinator,Calibration Awareness,2024-02-19,2026-02-18,Completed,Compliant
EMP-10052,Manufacturing,Assembly Technician,Internal Auditor Training,2024-04-28,2025-04-28,Completed,Compliant
EMP-10053,Warehouse,Warehouse Supervisor,Safety Training,2025-05-29,2026-05-29,Completed,Compliant
EMP-10054,HR,Training Coordinator,Internal Auditor Training,2023-10-26,2025-10-25,Completed,Non-Compliant
EMP-10055,HR,HR Generalist,5S Lean Manufacturing,2025-10-26,2027-10-26,Pending,Compliant
EMP-10056,Quality,Quality Inspector,Internal Auditor Training,2025-05-29,2027-05-29,Completed,Compliant
EMP-10057,Quality,QA Manager,Safety Training,2025-06-26,2026-06-26,Completed,Compliant
EMP-10058,Engineering,Design Engineer,Safety Training,2024-02-27,2026-02-26,Completed,Compliant
EMP-10059,Manufacturing,Line Lead,5S Lean Manufacturing,2024-10-18,2026-10-18,Completed,Compliant
EMP-10060,Supply Chain,Buyer,Calibration Awareness,2024-12-08,2025-12-08,Expired,Compliant
EMP-10061,Manufacturing,Production Supervisor,ISO 9001 Awareness,2024-06-16,2026-06-16,Completed,Compliant
EMP-10062,Quality,Quality Inspector,Internal Auditor Training,2024-02-16,2026-02-15,Pending,Compliant
EMP-10063,Supply Chain,Logistics Coordinator,Calibration Awareness,2023-04-04,2024-04-03,Completed,Compliant
EMP-10064,Supply Chain,Logistics Coordinator,Safety Training,2025-08-04,2026-08-04,Completed,Compliant
EMP-10065,HR,HR Generalist,5S Lean Manufacturing,2023-05-19,2025-05-18,Completed,Compliant
EMP-10066,Engineering,Process Engineer,5S Lean Manufacturing,2024-05-13,2025-05-13,Completed,Compliant
EMP-10067,Manufacturing,Line Lead,Safety Training,2024-08-23,2026-08-23,Completed,Compliant
EMP-10068,Supply Chain,Supply Chain Analyst,5S Lean Manufacturing,2025-06-11,2026-06-11,Completed,Compliant
EMP-10069,Quality,Quality Inspector,5S Lean Manufacturing,2023-05-15,2024-05-14,Completed,Compliant
EMP-10070,Maintenance,Maintenance Technician,5S Lean Manufacturing,2025-08-19,2027-08-19,Completed,Compliant
EMP-10071,Engineering,Process Engineer,ISO 9001 Awareness,2023-12-08,2024-12-07,Expired,Compliant
EMP-10072,Supply Chain,Supply Chain Analyst,5S Lean Manufacturing,2023-10-17,2024-10-16,Expired,Compliant
EMP-10073,Manufacturing,Line Lead,Internal Auditor Training,2023-11-11,2024-11-10,Completed,Non-Compliant
EMP-10074,Engineering,Process Engineer,ISO 9001 Awareness,2025-04-29,2026-04-29,Completed,Compliant
EMP-10075,Engineering,Process Engineer,Safety Training,2024-12-01,2025-12-01,Completed,Non-Compliant
EMP-10076,Maintenance,Reliability Engineer,Calibration Awareness,2023-07-21,2024-07-20,Completed,Compliant
EMP-10077,Engineering,Manufacturing Engineer,5S Lean Manufacturing,2024-02-17,2026-02-16,Completed,Compliant
EMP-10078,Manufacturing,Machine Operator,ISO 9001 Awareness,2024-03-11,2025-03-11,Expired,Compliant
EMP-10079,Quality,Quality Inspector,Safety Training,2023-09-02,2024-09-01,Expired,Compliant
EMP-10080,Manufacturing,Machine Operator,Internal Auditor Training,2023-09-11,2024-09-10,Expired,Compliant
EMP-10081,Manufacturing,Line Lead,Calibration Awareness,2025-02-26,2026-02-26,Completed,Compliant
EMP-10082,Supply Chain,Logistics Coordinator,Calibration Awareness,2024-08-21,2025-08-21,Completed,Compliant
EMP-10083,Manufacturing,Line Lead,Internal Auditor Training,2023-05-21,2025-05-20,Completed,Non-Compliant
EMP-10084,Maintenance,Reliability Engineer,5S Lean Manufacturing,2023-02-15,2024-02-15,Completed,Compliant
EMP-10085,Quality,Quality Inspector,Safety Training,2025-05-17,2027-05-17,Completed,Compliant
EMP-10086,Maintenance,Maintenance Supervisor,ISO 9001 Awareness,2025-02-10,2026-02-10,Completed,Compliant
EMP-10087,Supply Chain,Supply Chain Analyst,Calibration Awareness,2025-04-03,2026-04-03,Completed,Compliant
EMP-10088,Supply Chain,Logistics Coordinator,Internal Auditor Training,2024-06-16,2025-06-16,Expired,Compliant
EMP-10089,Supply Chain,Buyer,Safety Training,2024-07-01,2025-07-01,Completed,Compliant
EMP-10090,Maintenance,Reliability Engineer,Internal Auditor Training,2023-05-09,2025-05-08,Expired,Compliant
EMP-10091,Warehouse,Warehouse Operator,ISO 9001 Awareness,2024-01-15,2026-01-14,Completed,Compliant
EMP-10092,HR,HR Manager,Internal Auditor Training,2025-05-28,2027-05-28,Completed,Compliant
EMP-10093,Supply Chain,Buyer,ISO 9001 Awareness,2023-10-11,2025-10-10,Expired,Compliant
EMP-10094,Engineering,Process Engineer,5S Lean Manufacturing,2024-06-12,2025-06-12,Completed,Compliant
EMP-10095,Quality,Auditor,5S Lean Manufacturing,2024-01-10,2025-01-09,Expired,Compliant
EMP-10096,Manufacturing,Machine Operator,ISO 9001 Awareness,2023-07-17,2025-07-16,Expired,Non-Compliant
EMP-10097,Warehouse,Forklift Operator,ISO 9001 Awareness,2024-12-29,2026-12-29,Completed,Compliant
EMP-10098,HR,Training Coordinator,Safety Training,2024-02-19,2026-02-18,Completed,Compliant
EMP-10099,Manufacturing,Machine Operator,Calibration Awareness,2023-04-22,2024-04-21,Expired,Compliant
EMP-10100,HR,HR Manager,Calibration Awareness,2023-07-13,2024-07-12,Expired,Non-Compliant
EMP-10101,Quality,QA Manager,Internal Auditor Training,2025-06-14,2026-06-14,Completed,Compliant
EMP-10102,Manufacturing,Production Supervisor,Calibration Awareness,2023-02-07,2024-02-07,Completed,Compliant
EMP-10103,Warehouse,Forklift Operator,ISO 9001 Awareness,2023-01-11,2025-01-10,Completed,Non-Compliant
EMP-10104,Warehouse,Forklift Operator,5S Lean Manufacturing,2025-10-04,2026-10-04,Completed,Compliant
EMP-10105,Manufacturing,Line Lead,5S Lean Manufacturing,2024-06-10,2026-06-10,Pending,Non-Compliant
EMP-10106,Engineering,Process Engineer,Internal Auditor Training,2023-05-30,2024-05-29,Completed,Compliant
EMP-10107,HR,HR Manager,5S Lean Manufacturing,2024-02-27,2025-02-26,Expired,Compliant
EMP-10108,Warehouse,Warehouse Supervisor,ISO 9001 Awareness,2023-10-22,2024-10-21,Completed,Compliant
EMP-10109,Supply Chain,Planner,5S Lean Manufacturing,2023-01-21,2024-01-21,Expired,Compliant
EMP-10110,Supply Chain,Planner,Internal Auditor Training,2024-03-02,2025-03-02,Completed,Compliant
EMP-10111,HR,Training Coordinator,Safety Training,2023-10-28,2024-10-27,Expired,Non-Compliant
EMP-10112,HR,Training Coordinator,Calibration Awareness,2024-03-13,2026-03-13,Completed,Compliant
EMP-10113,Supply Chain,Planner,5S Lean Manufacturing,2023-07-10,2024-07-09,Expired,Non-Compliant
EMP-10114,Maintenance,Maintenance Technician,Internal Auditor Training,2023-02-20,2024-02-20,Expired,Non-Compliant
EMP-10115,Maintenance,Maintenance Supervisor,ISO 9001 Awareness,2023-11-05,2025-11-04,Expired,Compliant
EMP-10116,HR,HR Generalist,Internal Auditor Training,2024-12-29,2026-12-29,Completed,Compliant
EMP-10117,Engineering,Manufacturing Engineer,Calibration Awareness,2024-02-08,2025-02-07,Expired,Compliant
EMP-10118,Maintenance,Maintenance Technician,Calibration Awareness,2023-03-30,2025-03-29,Completed,Compliant
EMP-10119,Engineering,Manufacturing Engineer,Internal Auditor Training,2024-09-05,2025-09-05,Expired,Compliant
EMP-10120,Maintenance,Reliability Engineer,ISO 9001 Awareness,2024-03-17,2025-03-17,Expired,Non-Compliant
EMP-10121,HR,HR Generalist,Safety Training,2023-12-20,2025-12-19,Completed,Compliant
EMP-10122,Maintenance,Reliability Engineer,5S Lean Manufacturing,2025-03-24,2026-03-24,Completed,Compliant
EMP-10123,Manufacturing,Machine Operator,5S Lean Manufacturing,2023-06-15,2024-06-14,Completed,Compliant
EMP-10124,Manufacturing,Assembly Technician,Calibration Awareness,2024-06-16,2025-06-16,Expired,Compliant
EMP-10125,Quality,QA Manager,5S Lean Manufacturing,2023-09-07,2024-09-06,Completed,Compliant
EMP-10126,Supply Chain,Logistics Coordinator,5S Lean Manufacturing,2023-07-20,2024-07-19,Completed,Compliant
EMP-10127,Warehouse,Warehouse Operator,Calibration Awareness,2025-10-09,2026-10-09,Completed,Compliant
EMP-10128,Supply Chain,Buyer,Internal Auditor Training,2023-03-02,2024-03-01,Expired,Compliant
EMP-10129,Supply Chain,Logistics Coordinator,Calibration Awareness,2025-07-02,2026-07-02,Completed,Compliant
EMP-10130,Quality,Quality Inspector,Safety Training,2024-10-16,2025-10-16,Expired,Compliant
EMP-10131,HR,Training Coordinator,5S Lean Manufacturing,2024-02-02,2026-02-01,Completed,Compliant
EMP-10132,HR,HR Manager,Internal Auditor Training,2024-04-16,2026-04-16,Completed,Compliant
EMP-10133,Engineering,Manufacturing Engineer,ISO 9001 Awareness,2025-08-30,2026-08-30,Completed,Compliant
EMP-10134,Maintenance,Maintenance Supervisor,5S Lean Manufacturing,2024-06-02,2025-06-02,Expired,Compliant
EMP-10135,Manufacturing,Line Lead,Calibration Awareness,2023-09-23,2024-09-22,Expired,Compliant
EMP-10136,Engineering,Design Engineer,Internal Auditor Training,2025-08-17,2027-08-17,Completed,Compliant
EMP-10137,Maintenance,Reliability Engineer,Safety Training,2024-05-09,2025-05-09,Completed,Compliant
EMP-10138,Manufacturing,Production Supervisor,ISO 9001 Awareness,2023-03-15,2024-03-14,Expired,Compliant
EMP-10139,Supply Chain,Logistics Coordinator,Internal Auditor Training,2023-05-10,2024-05-09,Expired,Compliant
EMP-10140,Warehouse,Warehouse Supervisor,Safety Training,2023-10-12,2024-10-11,Expired,Compliant
EMP-10141,Manufacturing,Assembly Technician,Internal Auditor Training,2024-08-18,2025-08-18,Expired,Compliant
EMP-10142,HR,Training Coordinator,5S Lean Manufacturing,2025-02-25,2027-02-25,Completed,Compliant
EMP-10143,Manufacturing,Line Lead,5S Lean Manufacturing,2023-05-08,2024-05-07,Expired,Compliant
EMP-10144,HR,Training Coordinator,ISO 9001 Awareness,2024-01-30,2025-01-29,Expired,Non-Compliant
EMP-10145,Supply Chain,Logistics Coordinator,Calibration Awareness,2024-04-22,2025-04-22,Expired,Compliant
EMP-10146,Maintenance,Maintenance Supervisor,Internal Auditor Training,2024-07-01,2026-07-01,Completed,Compliant
EMP-10147,HR,Training Coordinator,5S Lean Manufacturing,2025-02-25,2027-02-25,Completed,Compliant
EMP-10148,HR,HR Generalist,5S Lean Manufacturing,2023-01-09,2024-01-09,Expired,Compliant
EMP-10149,Engineering,Process Engineer,Internal Auditor Training,2025-01-12,2026-01-12,Pending,Compliant
EMP-10150,Engineering,Design Engineer,Internal Auditor Training,2023-02-12,2025-02-11,Completed,Non-Compliant
EMP-10151,Engineering,Manufacturing Engineer,Calibration Awareness,2024-05-16,2025-05-16,Expired,Compliant
EMP-10152,HR,Training Coordinator,5S Lean Manufacturing,2024-06-14,2026-06-14,Completed,Compliant
EMP-10153,Warehouse,Forklift Operator,Safety Training,2024-03-28,2025-03-28,Expired,Compliant
EMP-10154,HR,Training Coordinator,Safety Training,2024-10-31,2026-10-31,Pending,Compliant
EMP-10155,Quality,Quality Inspector,Internal Auditor Training,2024-01-27,2026-01-26,Completed,Compliant
EMP-10156,Engineering,Process Engineer,ISO 9001 Awareness,2025-04-23,2026-04-23,Pending,Non-Compliant
EMP-10157,Supply Chain,Planner,Calibration Awareness,2024-08-07,2025-08-07,Completed,Compliant
EMP-10158,Supply Chain,Logistics Coordinator,5S Lean Manufacturing,2025-02-12,2026-02-12,Pending,Compliant
EMP-10159,Maintenance,Maintenance Supervisor,Internal Auditor Training,2025-06-23,2026-06-23,Completed,Compliant
EMP-10160,Warehouse,Warehouse Supervisor,Internal Auditor Training,2023-07-08,2024-07-07,Expired,Compliant
EMP-10161,HR,Training Coordinator,Safety Training,2023-07-24,2024-07-23,Expired,Compliant
EMP-10162,Engineering,Design Engineer,Calibration Awareness,2025-07-25,2026-07-25,Completed,Compliant
EMP-10163,Warehouse,Forklift Operator,Internal Auditor Training,2024-05-31,2026-05-31,Completed,Compliant
EMP-10164,Engineering,Manufacturing Engineer,5S Lean Manufacturing,2023-08-26,2025-08-25,Completed,Compliant
EMP-10165,Warehouse,Warehouse Supervisor,ISO 9001 Awareness,2025-08-11,2027-08-11,Completed,Compliant
EMP-10166,Maintenance,Maintenance Supervisor,Internal Auditor Training,2024-08-26,2025-08-26,Expired,Compliant
EMP-10167,Maintenance,Maintenance Technician,Internal Auditor Training,2024-12-13,2025-12-13,Completed,Non-Compliant
EMP-10168,Quality,QA Manager,Calibration Awareness,2023-04-18,2025-04-17,Completed,Compliant
EMP-10169,Supply Chain,Logistics Coordinator,Internal Auditor Training,2024-09-03,2025-09-03,Completed,Compliant
EMP-10170,Quality,Auditor,Internal Auditor Training,2023-12-16,2024-12-15,Expired,Compliant
EMP-10171,Manufacturing,Machine Operator,Calibration Awareness,2023-07-24,2024-07-23,Completed,Compliant
EMP-10172,Engineering,Design Engineer,Safety Training,2024-08-08,2025-08-08,Expired,Compliant
EMP-10173,HR,HR Manager,Internal Auditor Training,2024-12-22,2026-12-22,Completed,Compliant
EMP-10174,Maintenance,Maintenance Supervisor,5S Lean Manufacturing,2023-04-03,2025-04-02,Completed,Compliant
EMP-10175,Warehouse,Inventory Clerk,Safety Training,2024-05-03,2025-05-03,Completed,Compliant
EMP-10176,Quality,Auditor,Safety Training,2024-12-11,2026-12-11,Completed,Compliant
EMP-10177,Quality,QA Manager,Safety Training,2024-10-08,2025-10-08,Expired,Compliant
EMP-10178,Engineering,Process Engineer,Calibration Awareness,2025-05-07,2027-05-07,Completed,Compliant
EMP-10179,Maintenance,Maintenance Technician,Calibration Awareness,2024-02-06,2025-02-05,Expired,Compliant
EMP-10180,HR,HR Generalist,Internal Auditor Training,2023-02-21,2024-02-21,Expired,Non-Compliant
EMP-10181,Warehouse,Inventory Clerk,Safety Training,2024-12-20,2025-12-20,Expired,Compliant
EMP-10182,Quality,Quality Inspector,Internal Auditor Training,2025-03-26,2027-03-26,Completed,Compliant
EMP-10183,Supply Chain,Planner,5S Lean Manufacturing,2023-03-25,2025-03-24,Expired,Compliant
EMP-10184,Maintenance,Reliability Engineer,ISO 9001 Awareness,2025-04-30,2027-04-30,Completed,Compliant
EMP-10185,Engineering,Design Engineer,Internal Auditor Training,2025-09-26,2026-09-26,Completed,Compliant
EMP-10186,HR,Training Coordinator,Safety Training,2024-12-01,2026-12-01,Completed,Compliant
EMP-10187,Warehouse,Forklift Operator,5S Lean Manufacturing,2024-11-20,2025-11-20,Expired,Compliant
EMP-10188,Engineering,Design Engineer,Safety Training,2025-05-31,2026-05-31,Completed,Compliant
EMP-10189,Warehouse,Warehouse Operator,ISO 9001 Awareness,2025-10-25,2026-10-25,Completed,Compliant
EMP-10190,Manufacturing,Assembly Technician,ISO 9001 Awareness,2025-01-09,2026-01-09,Pending,Compliant
EMP-10191,Engineering,Process Engineer,Calibration Awareness,2024-09-06,2025-09-06,Expired,Compliant
EMP-10192,Warehouse,Inventory Clerk,ISO 9001 Awareness,2025-10-26,2026-10-26,Completed,Compliant
EMP-10193,Maintenance,Maintenance Supervisor,ISO 9001 Awareness,2025-03-01,2026-03-01,Completed,Compliant
EMP-10194,Warehouse,Forklift Operator,5S Lean Manufacturing,2024-05-02,2025-05-02,Expired,Compliant
EMP-10195,Manufacturing,Machine Operator,5S Lean Manufacturing,2023-08-10,2025-08-09,Expired,Compliant
EMP-10196,Quality,Quality Inspector,Internal Auditor Training,2024-03-23,2026-03-23,Completed,Compliant
EMP-10197,Quality,QA Manager,5S Lean Manufacturing,2024-04-14,2026-04-14,Completed,Compliant
EMP-10198,HR,HR Generalist,Safety Training,2024-06-22,2025-06-22,Expired,Compliant
EMP-10199,Quality,Auditor,Calibration Awareness,2023-07-18,2024-07-17,Expired,Compliant
EMP-10200,HR,HR Generalist,ISO 9001 Awareness,2023-07-24,2024-07-23,Completed,Non-Compliant
EMP-10201,HR,HR Manager,Internal Auditor Training,2023-08-14,2025-08-13,Expired,Non-Compliant
EMP-10202,HR,Training Coordinator,5S Lean Manufacturing,2025-06-23,2026-06-23,Completed,Compliant
EMP-10203,Supply Chain,Buyer,Calibration Awareness,2025-09-27,2027-09-27,Pending,Compliant
EMP-10204,Maintenance,Maintenance Technician,Safety Training,2024-10-10,2025-10-10,Expired,Compliant
EMP-10205,Quality,Auditor,Safety Training,2024-09-14,2026-09-14,Completed,Compliant
EMP-10206,Maintenance,Maintenance Technician,5S Lean Manufacturing,2023-06-26,2024-06-25,Completed,Non-Compliant
EMP-10207,HR,HR Manager,Safety Training,2025-01-23,2027-01-23,Completed,Compliant
EMP-10208,Maintenance,Maintenance Supervisor,5S Lean Manufacturing,2023-04-15,2024-04-14,Completed,Compliant
EMP-10209,Engineering,Design Engineer,Safety Training,2025-09-29,2027-09-29,Completed,Compliant
EMP-10210,Maintenance,Maintenance Supervisor,Safety Training,2023-03-22,2024-03-21,Expired,Compliant
EMP-10211,Quality,QA Manager,ISO 9001 Awareness,2025-06-22,2026-06-22,Completed,Compliant
EMP-10212,Manufacturing,Production Supervisor,5S Lean Manufacturing,2023-10-10,2024-10-09,Completed,Compliant
EMP-10213,Supply Chain,Buyer,5S Lean Manufacturing,2025-08-23,2026-08-23,Completed,Compliant
EMP-10214,HR,Training Coordinator,5S Lean Manufacturing,2023-06-10,2024-06-09,Expired,Compliant
EMP-10215,Maintenance,Reliability Engineer,Safety Training,2025-04-07,2026-04-07,Pending,Compliant
EMP-10216,Manufacturing,Machine Operator,5S Lean Manufacturing,2025-02-14,2027-02-14,Completed,Compliant
EMP-10217,Quality,Auditor,5S Lean Manufacturing,2025-04-08,2027-04-08,Pending,Compliant
EMP-10218,Engineering,Process Engineer,Internal Auditor Training,2024-11-04,2026-11-04,Completed,Compliant
EMP-10219,Manufacturing,Machine Operator,ISO 9001 Awareness,2025-04-07,2026-04-07,Completed,Compliant
EMP-10220,Manufacturing,Assembly Technician,Internal Auditor Training,2025-03-21,2026-03-21,Expired,Compliant
EMP-10221,Engineering,Manufacturing Engineer,Internal Auditor Training,2023-02-09,2024-02-09,Completed,Compliant
EMP-10222,HR,HR Generalist,Internal Auditor Training,2023-04-07,2025-04-06,Expired,Compliant
EMP-10223,Manufacturing,Production Supervisor,ISO 9001 Awareness,2024-10-06,2025-10-06,Completed,Non-Compliant
EMP-10224,Maintenance,Maintenance Supervisor,Safety Training,2025-06-30,2026-06-30,Pending,Non-Compliant
EMP-10225,Manufacturing,Line Lead,Calibration Awareness,2024-06-18,2025-06-18,Completed,Non-Compliant
EMP-10226,Maintenance,Reliability Engineer,Internal Auditor Training,2023-03-09,2024-03-08,Expired,Compliant
EMP-10227,Maintenance,Reliability Engineer,ISO 9001 Awareness,2025-09-12,2026-09-12,Completed,Compliant
EMP-10228,Warehouse,Inventory Clerk,ISO 9001 Awareness,2024-03-04,2025-03-04,Completed,Compliant
EMP-10229,Supply Chain,Planner,5S Lean Manufacturing,2023-07-29,2024-07-28,Completed,Compliant
EMP-10230,Engineering,Manufacturing Engineer,Internal Auditor Training,2023-07-02,2024-07-01,Completed,Compliant
EMP-10231,Maintenance,Maintenance Technician,Safety Training,2024-10-14,2026-10-14,Completed,Compliant
EMP-10232,HR,Training Coordinator,ISO 9001 Awareness,2023-02-19,2024-02-19,Completed,Non-Compliant
EMP-10233,Warehouse,Warehouse Supervisor,ISO 9001 Awareness,2025-02-16,2027-02-16,Completed,Compliant
EMP-10234,Quality,Quality Engineer,Safety Training,2023-04-03,2025-04-02,Completed,Compliant
EMP-10235,Quality,Quality Inspector,ISO 9001 Awareness,2025-07-10,2026-07-10,Completed,Compliant
EMP-10236,Engineering,Process Engineer,Internal Auditor Training,2023-12-27,2024-12-26,Expired,Non-Compliant
EMP-10237,Supply Chain,Planner,5S Lean Manufacturing,2024-01-10,2025-01-09,Completed,Compliant
EMP-10238,Quality,Quality Inspector,Safety Training,2025-03-04,2026-03-04,Completed,Compliant
EMP-10239,Quality,Quality Inspector,5S Lean Manufacturing,2024-09-29,2025-09-29,Completed,Compliant
EMP-10240,Quality,Auditor,Calibration Awareness,2023-01-29,2024-01-29,Completed,Compliant
EMP-10241,Maintenance,Reliability Engineer,Calibration Awareness,2024-11-16,2025-11-16,Completed,Compliant
EMP-10242,Engineering,Manufacturing Engineer,Safety Training,2023-12-22,2024-12-21,Completed,Compliant
EMP-10243,Warehouse,Warehouse Operator,Internal Auditor Training,2024-10-30,2025-10-30,Completed,Compliant
EMP-10244,Engineering,Design Engineer,Internal Auditor Training,2024-05-23,2025-05-23,Completed,Non-Compliant
EMP-10245,HR,Training Coordinator,ISO 9001 Awareness,2024-07-06,2026-07-06,Pending,Non-Compliant
EMP-10246,Warehouse,Inventory Clerk,Internal Auditor Training,2023-07-14,2024-07-13,Completed,Compliant
EMP-10247,Manufacturing,Machine Operator,Calibration Awareness,2023-11-15,2024-11-14,Expired,Compliant
EMP-10248,Maintenance,Reliability Engineer,5S Lean Manufacturing,2024-05-01,2026-05-01,Completed,Compliant
EMP-10249,Supply Chain,Planner,Calibration Awareness,2024-08-20,2025-08-20,Completed,Compliant
EMP-10250,Maintenance,Reliability Engineer,Calibration Awareness,2025-08-03,2027-08-03,Completed,Compliant
EMP-10251,Warehouse,Warehouse Operator,Internal Auditor Training,2023-11-08,2024-11-07,Expired,Non-Compliant
EMP-10252,HR,Training Coordinator,Safety Training,2025-02-02,2026-02-02,Completed,Compliant
EMP-10253,HR,HR Generalist,Internal Auditor Training,2024-11-10,2026-11-10,Completed,Compliant
EMP-10254,Supply Chain,Supply Chain Analyst,Calibration Awareness,2024-01-19,2026-01-18,Completed,Compliant
EMP-10255,Manufacturing,Production Supervisor,Calibration Awareness,2023-11-22,2025-11-21,Expired,Compliant
EMP-10256,HR,HR Manager,5S Lean Manufacturing,2025-02-21,2026-02-21,Completed,Compliant
EMP-10257,Warehouse,Forklift Operator,Internal Auditor Training,2024-06-24,2026-06-24,Completed,Compliant
EMP-10258,Manufacturing,Assembly Technician,Calibration Awareness,2024-01-09,2026-01-08,Completed,Compliant
